YBL002W	CAGL0K11462g	85.938	384	54	0	13	396	13	396	5.32e-115	411
YBL003C	CAGL0C04411g	88.041	393	44	1	1	393	1	390	1.46e-130	462
YBL003C	CAGL0K11440g	86.967	399	49	1	1	399	1	396	1.47e-125	446
YBL027W	CAGL0A03278g	91.087	561	50	0	1	561	1	561	0.0	760
YBL030C	CAGL0F04213g	83.034	890	141	9	73	957	37	921	0.0	798
YBL072C	CAGL0A04521g	88.099	605	69	2	1	602	1	605	0.0	715
YBL075C	CAGL0G03289g	77.651	1839	397	13	1	1832	1	1832	0.0	1107
YBL076C	CAGL0G03311g	79.052	3227	626	43	16	3217	16	3217	0.0	2169
YBL087C	CAGL0G03575g	89.372	414	44	0	1	414	1	414	2.47e-148	521
YBL092W	CAGL0H04521g	88.747	391	42	2	4	393	7	396	5.13e-135	477
YBL099W	CAGL0M09581g	81.954	1535	265	11	110	1638	104	1632	0.0	1290
YBR009C	CAGL0M06677g	90.385	312	30	0	1	312	1	312	4.12e-115	411
YBR009C	CAGL0C04136g	89.744	312	32	0	1	312	1	312	8.93e-112	399
YBR009C	CAGL0H09834g	89.744	312	32	0	1	312	1	312	8.93e-112	399
YBR010W	CAGL0H09856g	90.909	407	37	0	1	407	1	407	4.04e-156	547
YBR010W	CAGL0C04114g	90.909	407	37	0	1	407	1	407	4.04e-156	547
YBR010W	CAGL0M06655g	90.268	411	40	0	1	411	1	411	2.43e-153	538
YBR011C	CAGL0H09878g	86.049	853	119	0	7	859	7	859	0.0	917
YBR025C	CAGL0B04345g	85.101	1188	160	14	1	1181	1	1178	0.0	1197
YBR031W	CAGL0B04257g	88.462	1092	120	6	1	1089	1	1089	0.0	1314
YBR038W	CAGL0I04818g	76.168	2077	455	34	745	2801	589	2645	0.0	1057
YBR048W	CAGL0K11748g	92.140	458	36	0	1	458	1	458	0.0	647
YBR084C-A	CAGL0A03278g	90.909	561	51	0	1	561	1	561	0.0	754
YBR103W	CAGL0K12188g	77.714	175	35	4	619	791	625	797	4.27e-22	104
YBR114W	CAGL0K07766g	75.924	1840	418	18	545	2373	668	2493	0.0	920
YBR118W	CAGL0K07832g	93.474	1379	86	4	1	1377	1	1377	0.0	2045
YBR118W	CAGL0D01188g	93.111	1379	91	4	1	1377	1	1377	0.0	2017
YBR121C	CAGL0G01364g	78.742	1924	397	9	71	1988	71	1988	0.0	1277
YBR127C	CAGL0C00649g	82.775	1463	240	11	10	1466	10	1466	0.0	1295
YBR181C	CAGL0H05643g	90.436	711	68	0	1	711	1	711	0.0	937
YBR181C	CAGL0M06303g	90.155	711	70	0	1	711	1	711	0.0	926
YBR189W	CAGL0M06501g	93.371	528	32	3	1	526	1	527	0.0	778
YBR189W	CAGL0H05511g	92.992	528	34	3	1	526	1	527	0.0	767
YBR191W	CAGL0M06523g	89.050	484	51	2	1	483	1	483	1.30e-171	599
YBR196C	CAGL0H05445g	86.184	1643	225	2	22	1663	25	1666	0.0	1775
YBR247C	CAGL0C01639g	76.134	1102	235	16	286	1379	262	1343	3.18e-157	553
YBR286W	CAGL0G07623g	74.858	1229	290	16	307	1524	391	1611	2.76e-153	540
YBR287W	CAGL0G07601g	83.942	274	44	0	302	575	308	581	5.30e-70	263
