Orthogroup	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0003745	AFZ52167		
OG0003746	AFZ52168		
OG0003747	AFZ52169		
OG0003748	AFZ52171		
OG0003749	AFZ52177		
OG0003750	AFZ52195		
OG0003751	AFZ52197		
OG0003752	AFZ52217		
OG0003753	AFZ52219		
OG0003754	AFZ52221		
OG0003755	AFZ52236		
OG0003756	AFZ52237		
OG0003757	AFZ52240		
OG0003758	AFZ52241		
OG0003759	AFZ52242		
OG0003760	AFZ52244		
OG0003761	AFZ52268		
OG0003762	AFZ52275		
OG0003763	AFZ52277		
OG0003764	AFZ52280		
OG0003765	AFZ52299		
OG0003766	AFZ52301		
OG0003767	AFZ52322		
OG0003768	AFZ52323		
OG0003769	AFZ52329		
OG0003770	AFZ52336		
OG0003771	AFZ52337		
OG0003772	AFZ52344		
OG0003773	AFZ52345		
OG0003774	AFZ52355		
OG0003775	AFZ52358		
OG0003776	AFZ52362		
OG0003777	AFZ52364		
OG0003778	AFZ52375		
OG0003779	AFZ52384		
OG0003780	AFZ52396		
OG0003781	AFZ52397		
OG0003782	AFZ52398		
OG0003783	AFZ52399		
OG0003784	AFZ52400		
OG0003785	AFZ52430		
OG0003786	AFZ52434		
OG0003787	AFZ52435		
OG0003788	AFZ52438		
OG0003789	AFZ52441		
OG0003790	AFZ52453		
OG0003791	AFZ52454		
OG0003792	AFZ52459		
OG0003793	AFZ52465		
OG0003794	AFZ52471		
OG0003795	AFZ52475		
OG0003796	AFZ52476		
OG0003797	AFZ52482		
OG0003798	AFZ52483		
OG0003799	AFZ52484		
OG0003800	AFZ52487		
OG0003801	AFZ52492		
OG0003802	AFZ52500		
OG0003803	AFZ52503		
OG0003804	AFZ52506		
OG0003805	AFZ52511		
OG0003806	AFZ52513		
OG0003807	AFZ52517		
OG0003808	AFZ52524		
OG0003809	AFZ52527		
OG0003810	AFZ52541		
OG0003811	AFZ52545		
OG0003812	AFZ52557		
OG0003813	AFZ52560		
OG0003814	AFZ52561		
OG0003815	AFZ52566		
OG0003816	AFZ52567		
OG0003817	AFZ52571		
OG0003818	AFZ52587		
OG0003819	AFZ52593		
OG0003820	AFZ52594		
OG0003821	AFZ52608		
OG0003822	AFZ52610		
OG0003823	AFZ52630		
OG0003824	AFZ52632		
OG0003825	AFZ52633		
OG0003826	AFZ52634		
OG0003827	AFZ52668		
OG0003828	AFZ52677		
OG0003829	AFZ52686		
OG0003830	AFZ52689		
OG0003831	AFZ52691		
OG0003832	AFZ52707		
OG0003833	AFZ52713		
OG0003834	AFZ52718		
OG0003835	AFZ52720		
OG0003836	AFZ52722		
OG0003837	AFZ52723		
OG0003838	AFZ52738		
OG0003839	AFZ52741		
OG0003840	AFZ52742		
OG0003841	AFZ52746		
OG0003842	AFZ52748		
OG0003843	AFZ52755		
OG0003844	AFZ52758		
OG0003845	AFZ52759		
OG0003846	AFZ52766		
OG0003847	AFZ52774		
OG0003848	AFZ52793		
OG0003849	AFZ52796		
OG0003850	AFZ52797		
OG0003851	AFZ52801		
OG0003852	AFZ52809		
OG0003853	AFZ52816		
OG0003854	AFZ52832		
OG0003855	AFZ52837		
OG0003856	AFZ52852		
OG0003857	AFZ52853		
OG0003858	AFZ52862		
OG0003859	AFZ52866		
OG0003860	AFZ52879		
OG0003861	AFZ52906		
OG0003862	AFZ52911		
OG0003863	AFZ52915		
OG0003864	AFZ52916		
OG0003865	AFZ52920		
OG0003866	AFZ52927		
OG0003867	AFZ52932		
OG0003868	AFZ52934		
OG0003869	AFZ52943		
OG0003870	AFZ52948		
OG0003871	AFZ52950		
OG0003872	AFZ52951		
OG0003873	AFZ52999		
OG0003874	AFZ53006		
OG0003875	AFZ53014		
OG0003876	AFZ53018		
OG0003877	AFZ53032		
OG0003878	AFZ53034		
OG0003879	AFZ53036		
OG0003880	AFZ53040		
OG0003881	AFZ53059		
OG0003882	AFZ53062		
OG0003883	AFZ53076		
OG0003884	AFZ53078		
OG0003885	AFZ53086		
OG0003886	AFZ53087		
OG0003887	AFZ53104		
OG0003888	AFZ53114		
OG0003889	AFZ53115		
OG0003890	AFZ53116		
OG0003891	AFZ53120		
OG0003892	AFZ53128		
OG0003893	AFZ53132		
OG0003894	AFZ53155		
OG0003895	AFZ53162		
OG0003896	AFZ53163		
OG0003897	AFZ53173		
OG0003898	AFZ53174		
OG0003899	AFZ53176		
OG0003900	AFZ53179		
OG0003901	AFZ53180		
OG0003902	AFZ53181		
OG0003903	AFZ53182		
OG0003904	AFZ53194		
OG0003905	AFZ53195		
OG0003906	AFZ53201		
OG0003907	AFZ53202		
OG0003908	AFZ53205		
OG0003909	AFZ53206		
OG0003910	AFZ53222		
OG0003911	AFZ53225		
OG0003912	AFZ53230		
OG0003913	AFZ53258		
OG0003914	AFZ53272		
OG0003915	AFZ53284		
OG0003916	AFZ53286		
OG0003917	AFZ53287		
OG0003918	AFZ53291		
OG0003919	AFZ53292		
OG0003920	AFZ53293		
OG0003921	AFZ53294		
OG0003922	AFZ53306		
OG0003923	AFZ53311		
OG0003924	AFZ53312		
OG0003925	AFZ53318		
OG0003926	AFZ53320		
OG0003927	AFZ53323		
OG0003928	AFZ53324		
